Rank,Player Name,Country,Points,Tournaments,Last Update,Rank Change
1,KIM Won Ho / SEO Seung Jae,Korea,116605,17,2025-11-18,—
2,Aaron CHIA / SOH Wooi Yik,Malaysia,92450,21,2025-11-18,—
3,Satwiksairaj RANKIREDDY / Chirag SHETTY,India,80050,14,2025-11-18,—
4,GOH Sze Fei / Nur IZZUDDIN,Malaysia,79210,19,2025-11-18,—
5,MAN Wei Chong / TEE Kai Wun,Malaysia,76383,19,2025-11-18,—
6,Kim ASTRUP / Anders Skaarup RASMUSSEN,Denmark,75881,18,2025-11-18,—
7,LIANG Wei Keng / WANG Chang,China,73776,18,2025-11-18,—
8,Fajar ALFIAN / Muhammad Rian ARDIANTO,Indonesia,68754,11,2025-11-18,—
9,Sabar Karyaman GUTAMA / Moh Reza Pahlevi ISFAHANI,Indonesia,68680,18,2025-11-18,—
10,CHEN Bo yang / LIU Yi,China,66942,18,2025-11-18,—
11,Takuro HOKI / Yugo KOBAYASHI,Japan,64841,13,2025-11-18,—
12,LEE Jhe-Huei / YANG Po-Hsuan,Chinese Taipei,62490,22,2025-11-18,—
13,Fajar ALFIAN / Muhammad Shohibul FIKRI,Indonesia,58790,7,2025-11-18,—
14,Dechapol PUAVARANUKROH / Kittinupong KEDREN,Thailand,57722,20,2025-11-18,—
15,Ben LANE / Sean VENDY,England,57388,15,2025-11-18,—
16,CHIU Hsiang Chieh / WANG Chi-Lin,Chinese Taipei,56409,24,2025-11-18,▲2
17,HUANG Di / LIU Yang,China,55452,19,2025-11-18,—
18,Junaidi ARIF / YAP Roy King,Malaysia,53710,23,2025-11-18,▲1
19,LEE Fang-Chih / LEE Fang-Jen,Chinese Taipei,52930,22,2025-11-18,▲1
20,Leo Rolly CARNANDO / Bagas MAULANA,Indonesia,52850,16,2025-11-18,▼4
