Rank,Player Name,Country,Points,Tournaments,Last Update,Rank Change
1,SHI Yu Qi,China,112047,12,2025-11-18,—
2,Anders ANTONSEN,Denmark,98313,17,2025-11-18,—
3,Kunlavut VITIDSARN,Thailand,96179,18,2025-11-18,—
4,Jonatan CHRISTIE,Indonesia,84124,17,2025-11-18,▲1
5,LI Shi Feng,China,82728,18,2025-11-18,▼1
6,CHOU Tien Chen,Chinese Taipei,80619,26,2025-11-18,—
7,Alex LANIER,France,72611,15,2025-11-18,—
8,Christo POPOV,France,70690,19,2025-11-18,—
9,Kodai NARAOKA,Japan,69254,22,2025-11-18,▲1
10,LOH Kean Yew,Singapore,65709,20,2025-11-18,▼1
11,WENG Hong Yang,China,63710,19,2025-11-18,—
12,LIN Chun-Yi,Chinese Taipei,60510,21,2025-11-18,—
13,Kenta NISHIMOTO,Japan,59732,24,2025-11-18,—
14,Lakshya SEN,India,58202,21,2025-11-18,▲1
15,Toma Junior POPOV,France,55101,19,2025-11-18,▼1
16,LU Guang Zu,China,55050,19,2025-11-18,—
17,Alwi FARHAN,Indonesia,53160,20,2025-11-18,—
18,LEE Cheuk Yiu,Hong Kong,51422,19,2025-11-18,—
19,Jia Heng Jason TEH,Singapore,50405,27,2025-11-18,▲1
20,LEE Chia Hao,Chinese Taipei,50018,23,2025-11-18,▲1
