Rank,Player Name,Country,Points,Tournaments,Last Update,Rank Change
1,JIANG Zhen Bang / WEI Ya Xin,China,100552,16,2025-11-18,—
2,FENG Yan Zhe / HUANG Dong Ping,China,99757,14,2025-11-18,—
3,Dechapol PUAVARANUKROH / Supissara PAEWSAMPRAN,Thailand,93095,22,2025-11-18,—
4,CHEN Tang Jie / TOH Ee Wei,Malaysia,91463,16,2025-11-18,—
5,Thom GICQUEL / Delphine DELRUE,France,81364,17,2025-11-18,—
6,GUO Xin Wa / CHEN Fang Hui,China,78490,18,2025-11-18,—
7,TANG Chun Man / TSE Ying Suet,Hong Kong,77584,13,2025-11-18,—
8,Hiroki MIDORIKAWA / Natsu SAITO,Japan,75088,20,2025-11-18,—
9,GOH Soon Huat / LAI Shevon Jemie,Malaysia,72258,22,2025-11-18,—
10,Jesper TOFT / Amalie MAGELUND,Denmark,61296,19,2025-11-18,—
11,Jafar HIDAYATULLAH / Felisha Alberta Nathaniel PASARIBU,Indonesia,60330,18,2025-11-18,—
12,Ruttanapak OUPTHONG / Jhenicha SUDJAIPRAPARAT,Thailand,56470,22,2025-11-18,—
13,CHENG Xing / ZHANG Chi,China,55490,14,2025-11-18,—
14,Rehan Naufal KUSHARJANTO / Gloria Emanuelle WIDJAJA,Indonesia,55490,12,2025-11-18,—
15,Mathias CHRISTIANSEN / Alexandra BØJE,Denmark,55020,9,2025-11-18,▲3
16,DHRUV KAPILA / Tanisha CRASTO,India,54298,22,2025-11-18,▼1
17,YE Hong Wei / Nicole Gonzales CHAN,Chinese Taipei,53480,23,2025-11-18,—
18,YANG Po-Hsuan / HU Ling Fang,Chinese Taipei,52536,22,2025-11-18,▼2
19,Amri SYAHNAWI / Nita Violina MARWAH,Indonesia,48830,18,2025-11-18,—
20,Yuichi SHIMOGAMI / Sayaka HOBARA,Japan,46860,16,2025-11-18,▲1
