Rank,Player Name,Country,Points,Tournaments,Last Update,Rank Change
1,LIU Sheng Shu / TAN Ning,China,110884,18,2025-10-28,—
2,Pearly TAN / THINAAH Muralitharan,Malaysia,91316,21,2025-10-28,—
3,KIM Hye Jeong / KONG Hee Yong,Korea,89150,18,2025-10-28,—
4,JIA Yi Fan / ZHANG Shu Xian,China,88700,15,2025-10-28,—
5,BAEK Ha Na / LEE So Hee,Korea,83030,15,2025-10-28,—
6,Yuki FUKUSHIMA / Mayu MATSUMOTO,Japan,81220,16,2025-10-28,▲1
7,Rin IWANAGA / Kie NAKANISHI,Japan,78963,17,2025-10-28,▼1
8,Nami MATSUYAMA / Chiharu SHIDA,Japan,75732,9,2025-10-28,—
9,LI Yi jing / LUO Xu min,China,72920,18,2025-10-28,—
10,Febriana Dwipuji KUSUMA / Amallia Cahaya PRATIWI,Indonesia,62464,16,2025-10-28,—
11,HSIEH Pei Shan / HUNG En-Tzu,Chinese Taipei,58772,22,2025-10-28,—
12,CHEN Qing Chen / JIA Yi Fan,China,57365,6,2025-10-28,▲4
13,Gabriela STOEVA / Stefani STOEVA,Bulgaria,55540,15,2025-10-28,▼1
14,Treesa JOLLY / GAYATRI GOPICHAND PULLELA,India,53681,12,2025-10-28,▼1
15,YEUNG Nga Ting / YEUNG Pui Lam,Hong Kong,52993,19,2025-10-28,▼1
16,Lanny Tria MAYASARI / Siti Fadia Silva RAMADHANTI,Indonesia,48889,12,2025-10-28,▼1
17,Benyapa AIMSAARD / Nuntakarn AIMSAARD,Thailand,47725,12,2025-10-28,—
18,HSU Yin-Hui / LIN Jhih Yun,Chinese Taipei,47240,23,2025-10-28,—
19,CHANG Ching Hui / YANG Ching Tun,Chinese Taipei,46758,22,2025-10-28,—
20,JEONG Na Eun / LEE Yeon Woo,Korea,45494,11,2025-10-28,▲2
