Rank,Player Name,Country,Points,Tournaments,Last Update,Rank Change
1,SHI Yu Qi,China,112047,12,2025-10-28,—
2,Anders ANTONSEN,Denmark,98313,17,2025-10-28,▲1
3,Kunlavut VITIDSARN,Thailand,96179,20,2025-10-28,▼1
4,LI Shi Feng,China,85328,19,2025-10-28,—
5,Jonatan CHRISTIE,Indonesia,81344,17,2025-10-28,—
6,CHOU Tien Chen,Chinese Taipei,80619,26,2025-10-28,—
7,Christo POPOV,France,71740,20,2025-10-28,▲1
8,Alex LANIER,France,70511,15,2025-10-28,▼1
9,LOH Kean Yew,Singapore,65709,19,2025-10-28,—
10,Kodai NARAOKA,Japan,65094,22,2025-10-28,—
11,WENG Hong Yang,China,63710,19,2025-10-28,—
12,LIN Chun-Yi,Chinese Taipei,60270,19,2025-10-28,—
13,Toma Junior POPOV,France,56731,20,2025-10-28,—
14,Kenta NISHIMOTO,Japan,55782,23,2025-10-28,—
15,LU Guang Zu,China,55050,20,2025-10-28,—
16,Alwi FARHAN,Indonesia,53160,20,2025-10-28,▲1
17,Lakshya SEN,India,53042,20,2025-10-28,▼1
18,LEE Cheuk Yiu,Hong Kong,51422,20,2025-10-28,—
19,Viktor AXELSEN,Denmark,50710,9,2025-10-28,▲7
20,WANG Zheng Xing,China,50090,20,2025-10-28,▼1
